,data_station,real_station,location,real_line
366,SHEPPARD WEST TO WILSO,sheppard,Misc,
367,DUPONT TO OSGOODE,dupont,Misc,YU
368,GREENWOOD WYE (ENTERI,greenwood,Misc,BD
369,EGINTON STATION,,Station,
370,VMC TO SHEPPARD WEST,sheppard,Misc,
371,ATC FAILURE,,Misc,
372,WILSON DIVISION,wilson,Misc,YU
373,KING TO S/O ST ANDREW,king,Misc,YU
374,KENNEDY SRT TO MCCOWAN,kennedy,Misc,SRT
375,WELLSLEY STATION,wellesley,Station,YU
376,WILSON HOSLTER,wilson,Misc,YU
377,SHEPPARD YONGE STATION,sheppard,Station,
378,SCARBOROUGH SRT LINE,scarborough town centre,Misc,SRT
379,40 CARL HALL ROAD UNIT,,Misc,
380,GREENWOOD SHOPS,greenwood,Misc,BD
381,SHEPPARD WEST,sheppard,Misc,
382,KEELE TO DUNDAS WEST,keele,Misc,BD
383,SCARBOROUGH RAOID TRAN,scarborough town centre,Misc,SRT
384,SOUTH OF LAWRENCE SRT,lawrence,Misc,YU
385,SOUTH OF MIDLAND SRT,midland,Misc,SRT
386,DAVISVILLE BUILD UP,davisville,Misc,YU
387,GUNN THEATRE,,Misc,
388,QUEENS PARK STATION,queens park,Station,YU
389,WELBECK EMERGENCY EXIT,wellesley,Misc,YU
390,SYSTEMWIDE,,Misc,
391,ST CLAIR TO LAWRENCE S,st clair west,Misc,YU
392,CHURCH EMERGENCY EXIT,,Misc,
393,YARD SWITCH - BD CHECK,,Misc,
